故障类别,软/硬件,部件,标题,描述,原因分析,解决方案, 
飞箱异常,TOF异常,,推拉箱异常或TOF报错,所有TOF相关的，参考后面的解决方案,TOF相关问题，参考后面的解决方案,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决

",1.0
飞箱异常,料箱脱钩,,beltin没到位,拉箱<-地面车 飞箱: 106001 地面车: 219168............拉箱失败:beltin没到位(220.6).(20),推拉箱脱钩或推拉箱报错，参考后面解决方案,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量",
飞箱异常,飞箱定位失效,,Z轴卡住.实际位置(3076.100098)目的位置(2091.000000)  请恢复飞箱后点击已解决,飞箱: 104043 故障。问题: Z轴卡住.实际位置(3076.100098)目的位置(2091.000000)  请恢复飞箱后点击已解决,飞箱定位失效参考后面解决方法,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",1.0
飞箱异常,接驳位偏移量异常,,104023推箱失败,"推箱->地面车
飞箱: 104023 地面车: 205091
接驳位多次修正失败",接驳位推箱报错参考后面的解决方案,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。



",1.0
地面车异常,区域急停,,205110 区域急停,"项目名称：青浦山姆 
报警消息：地面车 205110 区域急停 机器人: 205110 发生了区域锁定,坐标: 16,18,错误码: 21F,描述Scan radar offli",地面车区域急停，参考后面的解决方案,"1、提供弹窗信息和读取地面车日志

2、查看雷达图检查有无异物遮挡。
-有：清理异物。
-无：进入步骤3

3、检查雷达是否在线。
-是：进入步骤4
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

4、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：进入步骤5

5、观察是否打滑，或地面不平导致。
-是：自行解决不了的话可以联系售后人员协助解决。
-否：联系售后人员",1.0
地面车异常,定位丢失,,地面车定位相关问题,参考后面解决方案,地面车定位问题，参考解决方案,"1、提供弹窗信息和读取地面车日志

2、检查雷达是否在线。
-是：进入步骤3
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

3、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：联系售后人员解决。










",1.0
飞箱异常,倾角异常,,110062飞箱异常,运行时倾角倾斜度太大,倾角相关问题，参考后面解决方案,"1、提供弹窗信息和读取飞箱日志

2、检查X轴导轨是否有异物卡住
-是：清除异物并把飞箱Z轴推垂直。
-否：进入步骤3

3、检查倾角是否正常
-是：进入步骤4
-否：通过操控界面调整倾角。

4、检查是否因其它部件报错导致的倾斜过大。
-是：解决其它部件问题后恢复。（如：拉箱机倾斜或X轴某个电机离线）
-否：联系售后人员解决。

",
飞箱异常,充电问题,,,,飞箱充电问题排查解决方法,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
飞箱异常,飞箱断电问题,,,,如遇问题，需要断电可按解决方法操作,"1、长按电源板第二个按钮（24V），看到拉箱机开始下降时松开按钮。

2、断电前需注意拉箱机是平行的，如果是倾斜的，下降过程中可能会卡住或剐蹭到下X轴线束。",
飞箱异常,飞箱上电步骤,,,,飞箱上电流程,"1、按电源板第四个按钮（RST）,然后按主板第3个按钮（RST）,按完后大概10秒拉箱机会升到货架有条码的那一层。

2、升起来后如果飞箱相机未扫到条码，则需要推动飞箱，直到相机扫到条码。

3、注意事项：上电前最好RCS停止，如果飞箱非手动模式，飞箱扫到条码后会马上动。",
飞箱异常,Z轴卡住,,,,,"1、检查5、6号电机是否在线或断断续续的离线。
-是：进入步骤2
-否：插拔线束或者更换电机
2、检查两侧皮带松紧度是否相同。
-是：进入步骤3
-否：皮带调整到相同松紧度。
3、检查两边滑块是否顺畅、无异响。
-是：联系售后人员协助检查
-否：查找异响/卡顿的地方，维修。",
地面车异常,地面车充电问题,,,,,"1、检查充电嘴与小车极板接触面是否正常。
-是：进入步骤2
-否：更换充电嘴。

2、检查充电桩电源是否正常。
-是：进入步骤3
-否：检查电源线是否插紧，插座是否有电，充电桩开关电源是否有电。

3、检查小车极板是否氧化。
-是：用砂纸打磨极板
-否：进入步骤4

4、检查小车电源板正负极和信号线是否紧固。
-是：联系售后人员解决。
-否：紧固线束",
