序号,现象,排查指引
1,货架红箱如何处理,"1、单个货架大面积红箱，一般是TOF问题，擦拭TOF后手动清理红箱。
2、4个箱位其中一个箱位经常标红，可能是有箱子位置不对，需要手动操作飞箱把3个正常箱子重新推拉一下，然后清除红箱位基本可以解决。
3、根据红箱报错提示处理异常箱位。"
2,飞箱无法上电,"1、用万用表量电源板电压是否正常。
2、检查各模块指示灯是否正常，确保各模块在线。
3、检查电源板和主板红色指示灯是否快闪。
4、把电源板上CAN线全部拔掉（主板CAN线不拔），然后上电看是否可以正常。
4.1、如果可以正常上电，把拔掉的CAN线一根根插上去排查是哪个模块有问题。
4.2、如果还是无法上电，就要检查主板和电源板，大概率其中一个板子有问题。"
3,雷达小车常见问题,"1、感应箱子不灵敏或完全感应不到。
1.1、先用止通规检查微动开关是否符合要求。
1.2、用手按压开关看是否能感应到。
1.3、检查微动开关线束。
1.4、以上检查都符合要求，并且还是感应不到，就需要更换微动开关。
2、主动轮异响。
2.1、先确定是减速器异响还是电机异响。（用排除法，把电机和减速器拆开，基本就能分辨了）
2.2、更换损坏部分。
3、雷达离线。
3.1、小车开机状态下，观察雷达灯是否一直正常亮。
3.2、检查线束。
3.3、更换或固定线束，继续使用观察。"
4,飞箱推箱失败,"飞箱执行推箱命令时，出现推箱失败的基本原因：
(1)货架上对应的箱位空间不够，无法确保箱子准确的推进去；
手动将移动邻近箱子，确保足够的箱位空间。
(2)推箱高度不合适，导致箱子顶住货架横梁顶死；
调整推箱时合适的 Z 高度；
(3)推箱时推拉钩没有钩进箱子的抓手位置，导致把箱子推过头了；
手动调整箱子在货架上的深度；
推箱失败后，飞箱电机一直“嘟嘟”响，需要进行终止任务-->启动任务的操作过程。"
5,拉箱机倾斜，不在同一水平。,"推拉箱机在上下移动过程中出现歪斜，一般有以下几种原因；
(1)CAN 总线通信不稳定；
(2)检查两侧同步带轮位置是否有异物；
(3)检车两侧滑块是否损坏，导向轮轴承是否有异响；"
6,飞箱禁用流程,"禁用飞箱注意事项及步骤：
飞箱需先移动到货架两边，最旁边两个箱位。
移动方法：
1、货架界面，手动，右键移动到维修位。
2、操控界面，移动距离改成1000，水平移动到维修位。
3、X电机解锁（或者24V断电），人工拉到维修位。
禁用步骤：
1、车服停止。
2、打开该飞箱货架界面。
3、选中飞箱，右键菜单中选禁用飞箱，选择设置飞箱禁用位，禁用位选到实际飞箱
停的位置。
4、如果飞箱升不起来的情况下，需要用木板把拉箱机顶起来，保证小车正常通行。
5、启动车服。
恢复步骤：
1、停止车服。
2、把飞箱推到定位点。
3、货架界面右键该飞箱，启用飞箱。
4、启动车服"
7,飞箱短路排查,"当飞箱发生短路时，需要拔掉can线进行排查，具体方法和步骤如下：
① 断开CAN总线电源输出；
② 先拔掉所有can线后按下电源控制板的第四个按钮，并观察电源控制板第二个按钮左边的LED灯是否亮起，如果LED灯亮起则是电源板短路，如果没有则进行下一步；
③ 分别先后插上can线，每插上一根can线要观察电源控制板第二个按钮左边的LED灯是否亮起，如果LED灯亮起则是那根can线短路。"
8,处理异常时如何封锁区域,"1、区域封锁功能：
1.1、选定的区域，小车会绕行，飞箱做完当前任务后停止不动。
1.2、可以选择部分区域或整个巷道。
2、使用方法：
2.1、按住ctrl,托动鼠标用左键选区域，选中区域后松开ctrl，然后右键任意选中区域选择区域封锁。
2.2、右键封锁区域，选择解锁区域，解开封锁。
2.3、如果选错区域想取消已经选中的：按住ctrl,拖动鼠标右键就可以取消选中。"
9,飞箱现场紧急停电处理方法,"使用方法：
*现场发现停电后，立即按以下步骤操作。
1、AC切换到WIFI模式。
2、打开任务调试界面，按住ctrl。
3、点击“断电紧急按钮”。
4、工作台转90°勾选是否需要勾选，根据当前工作台车的数量决定。
5、所有小车回地毯后点击“全部关机”
该功能的作用：
1、防止现场停电后大量小车在地面上，位置丢失。
2、防止现场停电后飞箱带着箱子停在高处卡住。
3、停电后开启该功能，所有飞箱会推完当前箱子，停在安全位置。
4、所有地面车会回到地毯上面。
备注：
*“接驳位转90°”看现场情况选择要不要勾选，勾选上的话点击“断电紧急按钮”工作台所
有小车不回接驳位，会转90°,防止关机后小车后溜。
*发现现场停电后，第一时间点击“断电紧急按钮”。
*停电后AC需要切换到WIFI模式，WIFI是有UPS供电的。*所有小车回到地毯后，点击全部关机。"
10,定位失效,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。"
11,9号电机短路0X108,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
12,拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
13,读码器没有读到箱号,"1、检查箱子是否有箱号。
2、检查偏移量是否正常。
3、检查拉箱机位置是否准确。"
14,No running position:9 目标:2.0实际:42.4,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
15,到达接驳位超时,"1、通过RCS界面查找要去接驳位这台车的状态。
2、查看该路线是否有飞箱因故障挡住小车路线。"
16,"调整位置的次数超过10次,调整拉箱位置失败","1、检查TOF是否脏污、松动。
2、检查X轴是否有异物卡住轮子。
3、检查倾角是否正常。"
17,接驳位多次修正失败,"1、检查TOF是否脏污、松动。
2、检查X轴是否有异物卡住轮子。
3、检查倾角是否正常。"
18,"XZ移动错误:不在预备位置或载箱位置Y=435.000000,R=41.500000.","1、检查TOF是否脏污、松动。
2、检查X轴是否有异物卡住轮子。
3、检查倾角是否正常。"
19,"推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
20,拉箱失败:beltin没到位(223.6).(10),"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
21,地面车拉箱失败，箱子脱钩,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。"
22,补推3次后，地面车箱传感器检测不到,"1、查看箱子是否推偏。
-是：摆正箱子，查看TOF是否脏污。
-否：进入步骤2
2、检查地面车微动开关是否损坏或线束脱落。（可通过手动按压，在RCS界面观察是否会变动）
-是：更换微动开关或插紧线路。
-否：联系售后人员"
23,行走时触点没有弹开,"1、检查触点上VH2接插件有无松动。（蓝色线）
-是：插紧VH2插头。
-否：更换触点。"
24,拉箱距离> 255 mm,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
25,9#电机执行位移失败,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
26,9号电机过温度0X105,"该问题就是推拉箱失败导致的，按以下方法处理：
1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：进入步骤7
-否：调整飞箱倾角。

7、货架偏移量是否准确。
-是：联系售后人员解决
-否：调整或重新校准偏移量"
27,推箱时拉箱机上没有箱子,"1、箱子掉了。
2、手动把箱推过了。"
28,货架上看不到箱子,"1、确认飞箱是否在正确位置。
2、检查TOF是否脏污、线束松动。
3、是否手动移动过该箱位。"
29,10号电机过温度0X105,"1、推拉箱时是否推偏卡住。
2、用手转动检查减速器是否卡顿。"
30,接驳位多次修正失败,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。"
31,Please Resolve:飞箱:106002 故障。问题跳出Z轴动态平衡请恢复飞箱后点击已解决,"1、“终止任务”“启动任务”恢复。
2、频繁出现联系售后人员解决。"
32,"	Please Resolve:Pull bin<- FloorbotAirRob:106008 Floorbot:219160单节电池电压过高,bms充电开关损坏4213",频繁出现的话更换电容板。
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
