故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7
参数配置,,,添加白名单,添加白名单,条码规则为：^[A-Z]{2}[0-9]{17}$,"请提供需要添加的条码
根据提供的条码输出正则表达式：例如条码为SF12222155642168975,表达式为^[A-Z]{2}[0-9]{17}$  这个表达式的意思是前面两位是A到Z的字母，后面跟着17位数字
1.根据输出的正则表达式，打开扫码软件exe的config文件，找到白名单，在空白行的白名单中添加正则表达式
2.保存config文件并重启扫码软件，扫描相应条码超市，问题是否解决
  -是：问题解决
  -否：请联系专业的售后技术人员处理",1.0
参数配置,,,新加了一种条码类型需要配置,添加白名单,条码规则为：^[A-Z]{2}[0-9]{17}$,"请提供需要添加的条码
根据提供的条码输出正则表达式：例如条码为SF12222155642168975,表达式为^[A-Z]{2}[0-9]{17}$  这个表达式的意思是前面两位是A到Z的字母，后面跟着17位数字
1.根据输出的正则表达式，打开扫码软件exe的config文件，找到白名单，在空白行的白名单中添加正则表达式
2.保存config文件并重启扫码软件，扫描相应条码超市，问题是否解决
  -是：问题解决
  -否：请联系专业的售后技术人员处理",
软件,扫码台软件,,获取扫码枪VID,更换新的扫码枪需要获取扫码枪VID,根据更换扫码台操作流程指引进行操作,根据更换扫码台操作流程指引进行操作,1.0
参数配置,,,货架蓝灯报警,第三套货架70074插入分拣机时亮蓝灯报警,货架数据异常,"货架亮起蓝灯表示当前货架未释放，请按照以下操作进行
1.请WMS（上游系统）检查货架是否释放
  -否：上游系统释放货架，然后再次插入尝试
  -是：建议联系专业的售后技术人员处理",1.0
软件,RCS,,安装驱动加密狗,平台需要安装驱动加密狗,3D缺少加密狗驱动,"1.检查加密狗是否正常插入电脑中
  -是：进入第2步
  -否：插入加密狗电脑
2.安装加密狗驱动是否能恢复
  -是：问题解决
  -否：进入第三步
3.进入网址http://localhost:1947/_int_/devices.html查询加密狗驱动是否正常
  -是：进入第4步
  -否：更换新的加密狗驱动或联系专业的售后技术人员处理
4.加密狗是否在rcs所在的内网里
  -是：建议联系专业的售后技术人员处理
  -否：加密狗插入内网的任意一台RCS电脑中",1.0
其它,料箱丢失,,07134料箱丢失,RCS没有07134号料箱的库存信息，导致站台下发的下架任务未触发。,"需要找到料箱的位置
1.打开rcs的日志进行精确查找这个料箱的具体位置
2.找到位置后控制拉箱机移动到查找的位置处进行手动扫描料箱","需要找到料箱的位置
1.打开rcs的日志进行精确查找这个料箱的具体位置
2.找到位置后控制拉箱机移动到查找的位置处进行手动扫描料箱",1.0
参数配置,,,机器人校准轮径，位移移动不到位,机器人校准轮径的时候，位移移动不到位,"机器人配置中“来回跑,校轮径启动位移”设置的不是现在的魔毯大小，所以无法校准","1.重新校准轮径尝试，是否可以解决
  -是：问题解决
  -否：进入第2步
2.把机器人放到地毯上，保证机器人前进方向十个地毯上无障碍物，点击机器人C按钮直到AC按钮闪烁，再按两下A按钮，查看机器人是否正常运行
  -是：联系专业的售后技术人员处理
  -否：检查机器人升级的config文件，查看地毯大小是否和实际大小一直
    -是：建议联系专业的售后技术人员处理
    -否：修改config中地毯大小并升级小车，如果问题还未解决，建议联系专业的售后技术人员处理",1.0
校准或注册,轮径校准,,小车233251频繁走偏,uniuni chicago项目上层小车233251频繁走偏,经过检查发现轮径不对,根据机器人跑偏操作流程指引处理,1.0
软件,MCS,,波次无法关闭,波次无法关闭，显示机器人上还有一个任务，实际没有,MCS订单状态未更新,"1.确认系统中是否有正在分拣的货物
-是：等待货物分拣完成
-否：从后台强制关闭波次，密码为波次号后六位（建议联系专业的售后技术支持人员获得帮助）",
软件,MCS,,机器人停在3D29位置不动，WCS界面3D29分拣机状态显示正常,PNT仓3D第3套：上下层机器人停在3D29位置不动，WCS界面3D29分拣机状态显示正常。,,打开wcs软件，点击高级，进行当前格口解锁重置,1.0
软件,扫码台软件,,相机断连,A仓3D上层一个扫码软件显示两个相机均失去连接,"1、检查dahua配置文件异常；
2、相机连接资源异常导致失去连接；
3、扫码台部分内网故障。","1.确认扫码台程序是否为新版本
-是：SVS相机工具中设备属性，可见性为大师模式，查看deviceUserId是否配置（相机所对应的发货口名称）
-否：进入步骤2

2. 相机断电后重新上电
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤3

3. 重启扫码台软件
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤4

4. 打开电控箱，插拔相机的网线
- 观察是否能连接?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",1.0
参数配置,,,新加坡扫码台问题,扫码台相机画面显示与实际相反,"扫码台相机编码配反（SS001,SS002）,车服发货口坐标与实际相反","1.打开rcs软件的grid.physical文件扫码台位置是否和实际的位置左右一致
  -是：进入第2步
  -否：修改配置文件使其和实际位置保持一致，并保存重启rcs软件
2.打开扫码软件exe的config文件和dahua.cfg文件检查左右扫码台的名称是否和RCS软件一致
  -是：进入第3步
  -否：修改配置文件和RCS软件保持一致，并保存重启扫码软件
3，检查SVS下相机命名是否重复
-是：修改命名
-否：联系专业的售后技术人员处理",1.0
软件,MCS,,WCS系统离线,WCS系统离线,车服界面也是显示离线，那么可以判断大概率是wcs电脑出现问题，检查WCS电脑防火墙是否打开,"1.确认WCS服务器是否正常开机
-是：进入步骤2
-否：开机并启动WCS程序

2.检查扫码台防火墙是否打开
-是：关闭防火墙
-否：建议联系专业的售后技术支持人员获得帮助",1.0
软件,RCS,,RCS下层界面白屏,RCS下层界面白屏,内存不足导致的，检查日志是否有定时清除,"
1.检查日志是否有定时清除
-是：进入步骤2
-否：设置日志定时清除

2.检查电脑是否运行时间过长
-是：关闭重启RCS程序，任务结束之后，电脑关机重启
-否：联系专业的售后技术人员处理",1.0
软件,RCS,,现场紧急充电模式开不起来,现场紧急充电模式开不起来,现场少了一个停车位,"1.确认停车位的数量是否大于或等于平台上机器人的数量
-是：联系专业的售后技术人员处理
-否：联系售后，增加停车位",1.0
参数配置,,,PDA扫掉件报错,第1套平台PDA扫描掉件手动投递时报错。,,"1.查看pda网络是否连接正确，pda需要连接到立镖和上游系统通讯的网络里
  -是：进入第2步
  -否：连接正确的网络重试并询问是否解决
    -是：问题解决
    -否进入第二步
2.连续点击屏幕空开的地方7次调用出设置界面，查看ip和端口是否配置正确，可参考其他正常pda的ip和端口。
  -是：联系专业的售后技术人员处理
  -否：配置正确的ip和端口，并再次扫描，如问题为解决联系专业的售后技术人员处理",
波次问题（移除、迁移、关闭）,,,关闭波次,取消波兰希音大P3第一套上的波次：PO2506120007,,"
此操作建议联系专业的售后技术人员操作",
参数配置,,,降低3D分拣机翻板卸货速度,客户要求给分拣机翻板卸货速度降低一些,,"
降低3D分拣机的翻板速度更具以下的操作指引进行操作
1.打开3D分拣机工具，根据分拣机的ip连接到分拣机
2.找到翻板速度的配置选项进行修改翻板速度",
软件,MCS,,波次提示货架不可用,波次提示货架不可用，货架亮蓝灯提示未释放,波次启动失败，导致绑定的货架状态异常,"1.货架未释放
-是：将货架拉出2分钟，插回
-否：建议联系专业的售后技术支持人员获取帮助",
软件,WES,,客诉：扫码台扫码后返回task过慢,客户描述整体系统很慢，希望我们清理log,是不是硬盘空间不够,"1.检查日志是否有定时清除
-是：进入步骤2
-否：设置日志定时清除

2.检查电脑是否运行时间过长
-是：关闭重启扫码台程序，任务结束之后，电脑关机重启
-否：联系专业的售后技术人员处理",
波次问题（移除、迁移、关闭）,,,波次转移到其他平台,客户需求：“Can we please move wave ID2507210094 from Gru 3 to Gru 4 please ”,,此操作建议联系专业的售后技术人员操作,
波次问题（移除、迁移、关闭）,,,取消波次,客户需要删除第一套待启动波次中的波次 PO2506250159。,,此操作建议联系专业的售后技术人员操作,
波次问题（移除、迁移、关闭）,,,波次转移到其他平台,客户需求：“Hey can we move wave ID2507200055 from Gru 4 to Gru 3.  Can we also move wave ID2507200068 from Gru 3 to Gru 4 please? ”,,此操作建议联系专业的售后技术人员操作,
参数配置,,,更换了地毯,现场更换了4块地毯，需要修改locate文件RFID,,"更换少量地毯时需要注意其他的地毯不要错乱，并且新地毯铺设的时候方向需要和其他地毯一致，并记录下更换地毯的位置。更换完成后根据以下操作进行
1.少量更换地毯：打开一台机器人的电源，放到更换过的地毯上，rcs软件上查看当前地毯的坐标，打开rcs的platforms文件，打开locate文件，找到更换的左边，使用磁条图选择更换过地毯的机器人，读取更换过地毯上的rfid，双击可复制，替换locate中的rfid，保存并重启rcs
2.全量更换地毯：把地毯上所有机器人搬下来，删除platforms下的locate文件（删除前需要进行备份），打开rcs目录下的启动器，选择地图扫码模式，放一台机器人到平台上并在扫码模式软件里输入机器人id，选择机器人放的位置，点击开始扫描
此操作建议联系专业的售后技术人员协助",
软件,RCS,,客户将下层5台小车移到上层，更新上层地图,"客户需要将下层五台小车搬到上层，上层地图需要增加停车位。
规划已经提供了新的地图，需要在客户工作间隙部署。",,"如果需要搬移机器人，请按以下操作进行
1.在原先rcs上将需要搬出的机器人关机，并点击删除机器人
2.在新的需要添加的rcs软件中添加另一个rcs被删除的机器人并开机",
软件,MCS,,关闭波次异常,波次无法再wes上关闭,波兰希音大P3第六套wcs上有个包裹正在等待分拣机分拣完成上报，但没有完成,"1.确认系统中是否有正在分拣的货物
  -是：等待货物分拣完成
  -否：进入步骤2
2.从后台强制关闭波次，密码为波次号后六位，是否成功
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获得帮助）",
软件,RCS,,RCS无法启动，redis报错,远程检查虚拟仓库连不上两个数据库,排查发现服务器IP地址错了，导致无法通讯,请联系专业的售后技术人员查看,
其它,客户系统原因,,笼车状态不可用,波兰希音PNT仓TSort：PDA绑定笼车至格口PNT01-006返回异常信息。,建议联系专业的售后技术人员处理,建议联系专业的售后技术人员处理,
,,,笼车无法绑定,,建议联系专业的售后技术人员处理,,
参数配置,,,小车翻板朝向不对,波兰希音大P3第三套下层小车发货口朝向不对,朝向配置文件没有配,"在发货口的机器人，翻板开口朝向需要对着投货人员，方便人员进行投件
1.打开rcs的platforms目录下的Induction.txt文件，对应扫码台编号，查看机器人需要向左右旋转的度数（向左为减，向右为加），调整合适的角度后保存重启rcs软件，并点击start，机器人翻板朝向就会发生改变",
其它,加密狗驱动,,缺少加密狗驱动,D仓3D第2套上层RCS主机：打开RCS后持续弹窗报错缺少加密狗驱动,"1.检查加密狗是否正常插入电脑中
  -是：进入第2步
  -否：插入加密狗电脑
2.安装加密狗驱动是否能恢复
  -是：问题解决
  -否：进入第三步
3.进入网址http://localhost:1947/_int_/devices.html查询加密狗驱动是否正常
  -是：进入第4步
  -否：更换新的加密狗驱动或联系专业的售后技术人员处理
4.加密狗是否在rcs所在的内网里
  -是：建议联系专业的售后技术人员处理
  -否：加密狗插入内网的任意一台RCS电脑中","1.检查加密狗是否正常插入电脑中
  -是：进入第2步
  -否：插入加密狗电脑
2.安装加密狗驱动是否能恢复
  -是：问题解决
  -否：进入第三步
3.进入网址http://localhost:1947/_int_/devices.html查询加密狗驱动是否正常
  -是：进入第4步
  -否：更换新的加密狗驱动或联系专业的售后技术人员处理
4.加密狗是否在rcs所在的内网里
  -是：建议联系专业的售后技术人员处理
  -否：加密狗插入内网的任意一台RCS电脑中",
参数配置,,,相邻两个发货口的排队区，小车只前往其中一个发货口。,相邻两个发货口的排队区，小车只前往其中一个发货口。,排队区路线横穿导致车子只被其中一个发货口捕获。,"1.检查另一个发货口是否打开 
  -是：可能是地图线路问题，请联系专业的售后人员检查
  -否：鼠标右键点击被关闭的发货口打开",
参数配置,,,现场的下层的小车无法启动,现场的下层的小车无法启动,"1. AP显示离线状态
2. 以太网的网络IP配置是动态获取IP方式","1.在rcs软件界面点击Ctrl＋K调出ap界面，查看ap是否有离线
  -否：建议联系专业的售后技术人间检查
  -是：检查防火墙是否打开
    -是：关闭防火墙
    -否：进入第2步
2.检查本地电脑ip查看是否存在问题
  -是：检查并修改ip
  -否：进入第3步
3.检查所有ap电源是否正常
  -是：建议联系专业的售后技术人员查看
  -否：检查电源供电",
参数配置,,,扫码台不显示车号,第三套下层SD01扫码台中没有显示车号，小车没有搬移过，驱离小车下一辆小车依然没有显示车号,扫码台电脑防火墙开启了,"扫码台不显示车号表示没有接收到机器人的心跳信号，根据以下操作进行检查
1.检查扫码台和rcs电脑的防火墙是否打开
  -是：关闭防火墙
  -否：进入步骤2
2.检查扫码台exe的config配置中扫码台编号等是否正确
  -否：修改正确的配置并重启扫码软件
  -是：建议联系专业的售后技术人员处理",
参数配置,,,每次落件容易触发满包,修改满包触发时间,修改满包触发时间为3秒左右，不然每次落件都可能触发满包,"此问题大概率为设置的满包触发时间太短导致每次落件时传感器识别到了件认为满包，需要延长传感器识别的满包时间
请联系专业的售后技术人员处理",
参数配置,,,rfid缺失,美国希音B4第四套下层车服无法启动,1.小车在充电桩的位置急停，无法找到位置，该地毯上没有记录rfid,"1.打开rcs软件，把一台机器人放到放到次地毯上，从磁条图上确认是否能够读取到rfid。
  -是：持续观察，再次出现时保留现场联系专业的售后技术人员查看
  -否：更换地毯或者rfid，根据少量更换地毯问题操作指引进行",
其它,电脑ip改变,,wcs和车服通讯异常，无法正常通讯,wcs和车服通讯异常，无法正常通讯,"1.检查电脑的防火墙是否被打开
  -是：关闭防火墙
  -否：进入第二步
2.ping目标电脑ip是否可以通讯
  -是：重启电脑
  -否：进入第3步
3.打开电脑ip设置，检查ip和子网掩码是否正确
  -否：设置正确的ip和子网掩码
  -是：建议联系专业的售后技术人员处理","1.检查电脑的防火墙是否被打开
  -是：关闭防火墙
  -否：进入第二步
2.ping目标电脑ip是否可以通讯
  -是：重启电脑
  -否：进入第3步
3.打开电脑ip设置，检查ip和子网掩码是否正确
  -否：设置正确的ip和子网掩码
  -是：建议联系专业的售后技术人员处理",
其它,场地因数,,小车频繁急停,上下层车服启动跑一会就急停,"1.检查魔毯平整度（较为平整）
2.急停并不只出现在个别小车上（排除单个小车问题）
3.速度很高，2500（降低速度到1000还是会急停）
4.推测这几天频繁下雨导致魔毯有点潮湿，加上车速过快导致急停","1.检查魔毯平整度（较为平整）
2.急停并不只出现在个别小车上（排除单个小车问题）
3.速度很高，2500（降低速度到1000还是会急停）
4.推测这几天频繁下雨导致魔毯有点潮湿，加上车速过快导致急停",
软件,扫码台软件,,扫码台扫条码没有声音,扫码台扫条码没有声音,让客户打开电控箱看一下线的连接，然后打开SVS看线缆接的是光耦4，厂家远程查看,"1.查看电控箱内线路是否松动
  -是：插紧线路
  -否：联系专业的售后技术人员处理",
软件,RCS,,桌面上RCS图标消失,桌面上RCS图标消失,RCS电脑上有安装杀毒软件,"1.确定是否误删除导致（可以去回收站找一下）
-是：回收站快捷图标还原
-否：进入步骤2
2.尝试找到原程序位置，重新生成快捷方式
-是：生成快捷图标不会消失
-否：图标再次消失，进入步骤3
3.检查电脑是否有杀毒软件。
-是：请卸载后重新尝试生成快捷方式
-否：请联系专业售后支持人员",
波次问题（移除、迁移、关闭）,,,取消未启动的波次,取消未启动的波次,PO2506220029客户说这个波次是大P3的，需要取消掉,此操作建议联系专业的售后技术人员操作,
软件,RCS,,rcs的redis报错,重装RCS的Redis,现场下层RCS界面3D接口离线，RCS日志Redis报错，特哥说需要重新装Redis,"1.打开rcs的json配置文件查看redis的配置是否正常
  -是：进入步骤2
  -否：修改正确的redis并重启rcs 
2.打开电脑的服务界面，查看redis服务是否启动
  -是：进入步骤3
  -否：重新启动redis 
3.重新安装redis是否恢复正常
  -是：问题解决
  -否：联系专业的售后技术人员处理",
波次问题（移除、迁移、关闭）,,,关闭波次失败，分拣完毕的波次无法关闭,波兰大P3客户需要关闭完成98%的波次PO2506210092失败,"1，wcs中没有正在执行中的任务，也没有在分拣机中的包裹
2，波次中查询到有挂起42个料箱，需要分拣完成挂起的料箱或者缺件完成才能关闭波次","
1.打开RCS和WCS软件查看是否有未完成的任务
  -是：让任务完成后关闭再次尝试关闭波次，若还是无法关闭则联系专业的售后人员处理
  -否：进入第2步
2.查看3D分拣机是否有报错
  -是：根据分拣机报错操作指引维修
  -否：建议联系专业的售后技术人员操作",
波次问题（移除、迁移、关闭）,,,迁移波次,美国希音B4仓把波次 ID2506190083 从第三套迁移到第四套,,此操作建议联系专业的售后技术人员操作,
波次问题（移除、迁移、关闭）,,,移除波次,客户要求删除波次PO2506190067,,此操作建议联系专业的售后技术人员操作,
其它,咨询,,插一下这件货分到了哪里,客户咨询UUS56G1568375281238，UUS56G1562375260334，UUS56G1563375276877这三个包裹分拣到哪个格口,1.打开rcs软件目录下的server_log日志里的sorting日志，输入想要查询的条码进行搜索,1.打开rcs软件目录下的server_log日志里的sorting日志，输入想要查询的条码进行搜索,
软件,WES,,在网页中无法登录wes页面,全场货架未释放,"1.在网页中无法登录wes页面，查询发现wes的ant服务停止了
2，开启后无法正常推送波次，外网断开，wms推送波次失败",建议联系专业的售后技术人员处理,
波次问题（移除、迁移、关闭）,,,客户要求删除未启动波次,“Can someone delete wave PO2506180148 from the 6th Libiao?”,,此操作建议联系专业的售后技术人员操作,
参数配置,,,机器人并排同时转弯的时候都会相互干扰导致急停,机器人并排同时转弯的时候都会相互干扰导致急停,"1、查看机器人错误信息（机器人正常）
2、找规划查看地图路径（路径正常）
3、修改配置“是否允许两个机器人在相邻时转弯”","正常情况下机器人是不允许在并排的时候同时进行转弯，按照以下操作进行
1.打开rcs软件的platforms文件，找到json文件
2.在json文件中找到“是否允许两个机器人在相邻时转弯”，修改此配置变成flase，保存并重启rcs软件",
软件,扫码台软件,,扫码台启动失败,启动扫码台报错，无法正常启动,"1.检查dahua.cfg配置文件，dahua文件损坏
2.扫码台配置文件也出现损坏（已反馈给黄文振）
","1.打开配置文件夏的dahua.cfg文件查看是否被损坏
  -是：删除dahua.cfg文件后重新打开软件
  -否：联系专业的售后技术人员处理",
软件,RCS,,紧急充电模式开不起来,紧急充电模式开不起来,停车区少了一个，需要添加一个新的停车区,"1，检查RCS是否有紧急充电选项
-否:联系售后人员部署紧急充电地图
-是：进入步骤2
2检查停车区数量是否大于机器人数量
-是：请联系专业售后支持人员
-否：增加紧急地图停车区（建议联系专业售后支持人员）",
参数配置,,,满包雷达离线报错,分拣机没有满包雷达，仍然显示雷达离线及报错,分拣机LCD中启用了满包雷达，手动取消此设置即可。,"1.当前分拣机是否有满包雷达
  -是：进入第2步
  -否：点击分拣机LED屏幕高级中的配置，取消满包雷达的勾选
2.检查雷达线路是否正常
  -是：进入第三步
  -否：拔插并插进雷达线
3.雷达是否是旋转闪烁
  -是：建议联系专业的售后技术人员处理
  -否：更换雷达",
其它,重新注册货架不成功,,注册失败,"客户需要修改货架名称，重新注册货架，直接注册覆盖不了，显示rfid已存在,需要修改一百多个货架（LBS名称开头的货架除外）","1.是否是新货架
  -是：使用pda货架注册功能注册货架
  -否：进入第2步骤
2.是否是老货架只换了货架名称没换rfid
  -是：需要修改数据库请联系专业的售后技术人员修改
  -否：使用pda注册货架功能进行注册覆盖","1.是否是新货架
  -是：使用pda货架注册功能注册货架
  -否：进入第2步骤
2.是否是老货架只换了货架名称没换rfid
  -是：需要修改数据库请联系专业的售后技术人员修改
  -否：使用pda注册货架功能进行注册覆盖",
软件,扫码台软件,,发货口的急停按钮失效了,发货口的急停按钮失效了,"未知
测试插到飞箱平台可以正常使用，排除了按钮硬件问题","1.检查急停按钮USB接口是否松动
-是：紧固接口

1.检查急停按钮USB接口是否松动
-是：紧固接口
-否：进入步骤2
2.新建并打开一个记事本文档，按下急停按钮，看文档界面是否会显示F7字样
-是：打开注册软件重新注册按钮（建议联系专业售后人员处理）
-否：请更换急停按钮（线束不更换就无需注册）",
软件,扫码台软件,,扫码台闪退,波兰希音第5套桌平台，192.168.2.18扫码台扫描条码后扫码台程序会闪退,"1更新扫码台后扫描依然出现闪退
2关闭扫码台相机扫描条码小车不发车，再次开启相机显示后依然闪退
3今天测试条码黑名单添加了黑名单表达式，测试时没发现闪退，但开始分拣时扫码就会闪退
4了解2.18扫码台今天修改过黑名单后出现闪退
5加黑名单*[!@#%^&amp;*()\-_=+\[\]{}\\|;:'?`~].*不是所有电脑闪退（项叶盛排查发现闪退电脑系统语言为中文，现已更新修改英文语言）",建议联系专业的售后技术人员处理,
软件,RCS,,机器人打滑导致跑偏,机器人打滑导致跑偏,"可能和现场魔毯上面铺设的垫子有关，起步的时候有点打滑
1、RCS软件上操作单台车校准轮径（校准完之后轮径还是很偏）
2、让现场手动操作单台车校准轮径（校准完之后轮径还是很偏）
3、全场校准轮径（校准完成）
4、重新注册霍尔",根据机器人跑偏操作流程指引进行指导排查,
软件,WES,,WES登录报网络超时,WES登录报网络超时,找WES开发看，20250604105528_2_60_TFQ0这个波次下发的时候，wes启动波次推送给mcs时候mcs收到了异常导致事务回滚，将这个波次数据回滚了，但是mcs那边又收到了波次并启动，上报分拣结果的时候，因为wes这边没有这个波次，所以无法上报，提示了异常,建议联系专业的售后技术人员处理,
参数配置,,,扫码枪绑定,码枪绑定无法有效读出条码,"txt能正常扫描条码
程序软件无法识别扫码软件",建议联系专业的售后技术人员处理,
参数配置,,,上下层格口状态不一致,格口名称：AD0105R20，下层这个格口状态和上层对应位置的格口状态不一致,检查格口名称，发现下层RCS的grid.physical文件中该坐标没有配置格口名称AD0105R20，导致其状态不统一。,"1.检查rcs的platforms文件中的grid.physical文件，查看上下层格口名称是否能够对应
  -否：修改一致并正确的格口名称，保存后重启rcs软件
  -是：建议联系专业的售后技术人员检查",
软件,扫码台软件,,相机离线,扫码台连接相机离线,"1.相机网络正常
2.重启相机后扫码台依然无法连接
3，扫码台dahua配置文件没有损坏
4，扫码台软件损坏","1.ping 相机IP是否ping通
-是:进入步骤2
-否：进入步骤3
2：检查扫码台dahua及LabScanner.exe.config文件是否配置正确（大华相机左右IP）
3:检查大华网线及电源线是否连接
",
软件,RCS,,格口不投货,没有机器人往5F006格口投货,RCS中格口显示满包状态，灯条软件显示空闲，不清楚是不是客户关闭的,"1.检查格口是否被关闭
  -是：打开格口
  -否：进入步骤2
2.检查格口软件是否被关闭
  -是：打开软件
  -否：联系专业的售后技术人员处理",
参数配置,,,右侧相机识别速度慢，但左边正常,右侧相机识别速度慢，但左边正常,相机参数配置问题,"相机识别画面慢，一侧正常一侧慢通常是相机的配置有问题，需要在svs软件中连接相机进行修改配置，检查画面输出比
建议联系专业的售后技术人员处理",
软件,RCS,,内存不足导致车服软件不显示地图,车服软件打开出现红色叉叉,"车服软件打开出现红色叉叉,车服软件内存不足","1.检查磁盘空间并进行整理
2.打开任务管理器查看哪个软件引起的资源占用异常，如果可删除则删除此软件
3.以上检查完毕后在现场不操作的情况下重启rcs软件",
其它,无法通过二维码下载PDA软件,,无法通过二维码下载PDS软件,客户反馈，用PDA扫描我们提供的二维码，无法下载PDA的安装包,"1.查看pda网络是否连接正确，pda需要连接到立镖和上游系统通讯的网络里
-是：进入第2步
-否：连接正确的网络重试并询问是否解决
-是：问题解决
-否：建议联系专业的售后技术人员处理","1.查看pda网络是否连接正确，pda需要连接到立镖和上游系统通讯的网络里
-是：进入第2步
-否：连接正确的网络重试并询问是否解决
-是：问题解决
-否：建议联系专业的售后技术人员处理",
其它,货架RFID信息数据重复,,货架RFID信息数据重复,客户反馈货架在WES上面显示的绑定的RFID信息重复,"这是由于重复注册了货架RFID信息导致
1.进行更换其中一个货架的rfid并重新进行注册","这是由于重复注册了货架RFID信息导致
1.进行更换其中一个货架的rfid并重新进行注册",
软件,WES,,波次上报信息失败,客户反馈WMS没有收到波次#4046743的播种墙WA102的上报信息,可能是网络原因导致数据上报到WMS失败,建议联系专业的售后技术人员处理,
软件,扫码台软件,,扫码台上面扫描左边的条码，右边发车,客户反馈扫码台上面扫描左边的条码，右边发车,经调查发现，扫码台软件上面的发货口左右顺序配置错误,"这是由于扫码台左右配置反了，根据以下操作指引进行检查
1.打开rcs查看当前扫码台左右的名称
2.打开扫码软件exe的config文件，左右名称和rcs相对应，根据具体左右相机修改ip，并重启扫码软件",
